CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 455409 ADD-ACATO NA NA 0.327885 0.246488 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 455409 ADD-ACATV NA NA 0.0761018 0.106432 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 455409 ADD-SKAT NA NA 0.658399 0.379733 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000203114 455409 ADD -0.043877 0.148352 0.0874761 0.114972 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 455409 ADD-ACATO NA NA 0.546063 0.337307 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 455409 ADD-ACATV NA NA 0.70353 0.396206 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 455409 ADD-SKAT NA NA 0.989991 0.495197 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00182913 455409 ADD -0.00879082 0.0502614 0.0305908 0.0649179 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 455409 ADD-ACATO NA NA 0.89963 0.464857 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 455409 ADD-ACATV NA NA 1.59897 0.686028 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 455409 ADD-SKAT NA NA 1.48658 0.652185 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.00522827 455409 ADD 0.00866321 0.0299865 0.0834651 0.112014 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 455409 ADD-ACATO NA NA 0.45014 0.299064 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 455409 ADD-ACATV NA NA 0.223656 0.19636 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 455409 ADD-SKAT NA NA 0.268122 0.218536 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.00400958 455409 ADD 0.0374106 0.034092 1.20416 0.564646 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 455409 ADD-ACATO NA NA 0.185467 0.176059 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 455409 ADD-ACATV NA NA 0.0336362 0.0682967 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 455409 ADD-SKAT NA NA 0.124513 0.140147 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.000573111 455409 ADD -0.0880545 0.0883204 0.99399 0.496524 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 455409 ADD-ACATO NA NA 1.11096 0.534807 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 455409 ADD-ACATV NA NA 1.09695 0.530271 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 455409 ADD-SKAT NA NA 1.12821 0.540369 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.320376 455409 ADD -0.00021262 0.00457824 0.0021568 0.0163924 DF=1
17 9826068 GLP2R NA NA NA 455409 ADD-BURDEN-ACAT NA NA 0.196825 0.182239 DF=6
