CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 464055 ADD-ACATO NA NA 0.2789 0.223718 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 464055 ADD-ACATV NA NA 1.11545 0.536256 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 464055 ADD-SKAT NA NA 0.9515 0.482359 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000204717 464055 ADD 0.0383955 0.633076 0.00367832 0.0215279 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 464055 ADD-ACATO NA NA 0.0421252 0.0770767 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 464055 ADD-ACATV NA NA 0.13435 0.146324 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 464055 ADD-SKAT NA NA 0.043379 0.0783066 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00187478 464055 ADD -0.0623695 0.212305 0.0863025 0.114112 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 464055 ADD-ACATO NA NA 1.06471 0.519788 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 464055 ADD-ACATV NA NA 1.40713 0.627949 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 464055 ADD-SKAT NA NA 1.44917 0.640807 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.00534635 464055 ADD 0.0653735 0.126851 0.265593 0.21731 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 464055 ADD-ACATO NA NA 0.00281769 0.0187856 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 464055 ADD-ACATV NA NA 0.00384042 0.0220087 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 464055 ADD-SKAT NA NA 0.00424663 0.0231726 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.0041105 464055 ADD 0.00904613 0.144163 0.00393746 0.0222918 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 464055 ADD-ACATO NA NA 0.048706 0.0833721 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 464055 ADD-ACATV NA NA 0.123313 0.139381 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 464055 ADD-SKAT NA NA 0.0398059 0.0747598 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.00058075 464055 ADD -0.155601 0.375459 0.171752 0.168412 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 464055 ADD-ACATO NA NA 1.84886 0.75966 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 464055 ADD-ACATV NA NA 1.78372 0.740662 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 464055 ADD-SKAT NA NA 1.85166 0.760473 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.319614 464055 ADD 0.0736903 0.0196215 14.1044 3.76212 DF=1
17 9826068 GLP2R NA NA NA 464055 ADD-BURDEN-ACAT NA NA 0.0210712 0.0532604 DF=6
