CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 435362 ADD-ACATO NA NA 1.24663 0.578073 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 435362 ADD-ACATV NA NA 1.2627 0.583126 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 435362 ADD-SKAT NA NA 1.08946 0.527841 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000204428 435362 ADD 1.20892 0.937874 1.66153 0.704659 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 435362 ADD-ACATO NA NA 0.129743 0.143453 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 435362 ADD-ACATV NA NA 0.414257 0.28415 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 435362 ADD-SKAT NA NA 0.214901 0.191821 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00190416 435362 ADD 0.04524 0.312118 0.0210092 0.0531775 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 435362 ADD-ACATO NA NA 0.892548 0.462448 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 435362 ADD-ACATV NA NA 0.919489 0.471586 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 435362 ADD-SKAT NA NA 0.856928 0.450261 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.00548394 435362 ADD 0.194221 0.185534 1.09584 0.529913 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 435362 ADD-ACATO NA NA 1.04019 0.511764 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 435362 ADD-ACATV NA NA 0.0309685 0.0653447 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 435362 ADD-SKAT NA NA 1.10568 0.533097 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.00421373 435362 ADD -0.277335 0.210873 1.72969 0.724802 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 435362 ADD-ACATO NA NA 1.8203 0.751345 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 435362 ADD-ACATV NA NA 2.24232 0.871991 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 435362 ADD-SKAT NA NA 2.82261 1.03177 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.000591462 435362 ADD 0.0397533 0.550758 0.00520985 0.0257374 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 435362 ADD-ACATO NA NA 0.206829 0.187579 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 435362 ADD-ACATV NA NA 0.252575 0.210936 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 435362 ADD-SKAT NA NA 0.252029 0.210666 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.318332 435362 ADD 0.087219 0.0290662 9.00424 2.56968 DF=1
17 9826068 GLP2R NA NA NA 435362 ADD-BURDEN-ACAT NA NA 0.510293 0.323295 DF=6
