CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 261640 ADD-ACATO NA NA 2.4416 0.927546 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 261640 ADD-ACATV NA NA 3.8102 1.29293 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 261640 ADD-SKAT NA NA 2.2125 0.863606 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000156704 261640 ADD 0.262659 0.126204 4.33151 1.42698 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 261640 ADD-ACATO NA NA 3.32362 1.16563 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 261640 ADD-ACATV NA NA 4.90298 1.5717 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 261640 ADD-SKAT NA NA 3.96447 1.33283 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00151926 261640 ADD 0.0230489 0.0413057 0.311372 0.238945 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 261640 ADD-ACATO NA NA 4.74877 1.53285 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 261640 ADD-ACATV NA NA 4.46295 1.46045 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 261640 ADD-SKAT NA NA 5.61867 1.75031 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.00454441 261640 ADD -0.0345423 0.0238647 2.09502 0.830386 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 261640 ADD-ACATO NA NA 0.0493082 0.0839297 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 261640 ADD-ACATV NA NA 0.00766393 0.0314054 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 261640 ADD-SKAT NA NA 0.0875509 0.115027 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.00356788 261640 ADD -0.0163053 0.0268207 0.369586 0.265016 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 261640 ADD-ACATO NA NA 0.15017 0.155913 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 261640 ADD-ACATV NA NA 0.56877 0.346066 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 261640 ADD-SKAT NA NA 0.263391 0.216239 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.000575218 261640 ADD 0.0122753 0.0658708 0.034728 0.0694754 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 261640 ADD-ACATO NA NA 0.696574 0.393686 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 261640 ADD-ACATV NA NA 0.751125 0.413277 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 261640 ADD-SKAT NA NA 0.743833 0.410681 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.322997 261640 ADD 0.0123824 0.00340462 13.2274 3.55926 DF=1
17 9826068 GLP2R NA NA NA 261640 ADD-BURDEN-ACAT NA NA 1.11063 0.534697 DF=6
