CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 465121 ADD-ACATO NA NA 0.24094 0.205144 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 465121 ADD-ACATV NA NA 0.332913 0.24876 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 465121 ADD-SKAT NA NA 0.0903451 0.117055 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000204248 465121 ADD -1.01421 0.912642 1.23496 0.574393 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 465121 ADD-ACATO NA NA 1.4533 0.642066 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 465121 ADD-ACATV NA NA 0.77206 0.420696 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 465121 ADD-SKAT NA NA 0.687503 0.39039 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00188446 465121 ADD 0.562825 0.326712 2.96768 1.07087 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 465121 ADD-ACATO NA NA 10.5917 2.94462 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 465121 ADD-ACATV NA NA 10.0578 2.81901 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 465121 ADD-SKAT NA NA 10.7182 2.97433 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.0053642 465121 ADD 0.480485 0.150076 8.8982 2.54447 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 465121 ADD-ACATO NA NA 0.147653 0.154413 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 465121 ADD-ACATV NA NA 0.191154 0.17917 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 465121 ADD-SKAT NA NA 0.0631115 0.0960184 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.00412581 465121 ADD -0.190463 0.212045 0.806797 0.432892 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 465121 ADD-ACATO NA NA 0.197229 0.182457 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 465121 ADD-ACATV NA NA 0.295836 0.231728 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 465121 ADD-SKAT NA NA 0.0864456 0.114217 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.000579419 465121 ADD -0.500321 0.509718 0.963466 0.486363 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 465121 ADD-ACATO NA NA 1.85631 0.761826 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 465121 ADD-ACATV NA NA 2.83376 1.03479 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 465121 ADD-SKAT NA NA 2.08983 0.828909 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.319525 465121 ADD -0.0333303 0.0271041 1.5122 0.659945 DF=1
17 9826068 GLP2R NA NA NA 465121 ADD-BURDEN-ACAT NA NA 7.32901 2.16845 DF=6
