CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 455409 ADD-ACATO NA NA 0.0619428 0.0950405 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 455409 ADD-ACATV NA NA 0.262331 0.215723 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 455409 ADD-SKAT NA NA 0.0951683 0.120499 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000203114 455409 ADD 0.022485 0.157147 0.0204727 0.0524561 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 455409 ADD-ACATO NA NA 0.0233535 0.0562378 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 455409 ADD-ACATV NA NA 0.0698243 0.101498 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 455409 ADD-SKAT NA NA 0.0327232 0.0672982 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00182913 455409 ADD -0.00689079 0.0532816 0.0167256 0.0471599 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 455409 ADD-ACATO NA NA 1.12582 0.539601 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 455409 ADD-ACATV NA NA 0.835443 0.44285 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 455409 ADD-SKAT NA NA 0.846303 0.446602 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.00522827 455409 ADD -0.0425385 0.0320133 1.76564 0.735365 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 455409 ADD-ACATO NA NA 0.0224142 0.0550288 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 455409 ADD-ACATV NA NA 0.00128818 0.0126157 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 455409 ADD-SKAT NA NA 0.0314345 0.0658681 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.00400958 455409 ADD 0.028569 0.0364653 0.613803 0.363152 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 455409 ADD-ACATO NA NA 0.0741051 0.104881 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 455409 ADD-ACATV NA NA 0.0147815 0.0442006 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 455409 ADD-SKAT NA NA 0.0501005 0.084659 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.000573111 455409 ADD 0.0778294 0.0956543 0.662031 0.38107 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 455409 ADD-ACATO NA NA 2.66256 0.98828 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 455409 ADD-ACATV NA NA 2.55825 0.959714 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 455409 ADD-SKAT NA NA 2.68645 0.994799 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.320376 455409 ADD -0.0071983 0.00497389 2.09444 0.830219 DF=1
17 9826068 GLP2R NA NA NA 455409 ADD-BURDEN-ACAT NA NA 0.568721 0.346047 DF=6
