CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 465121 ADD-ACATO NA NA 0.104392 0.1269 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 465121 ADD-ACATV NA NA 0.0762275 0.106529 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 465121 ADD-SKAT NA NA 0.0413328 0.0762914 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000204248 465121 ADD 0.649248 0.649672 0.998696 0.498084 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 465121 ADD-ACATO NA NA 0.112935 0.132634 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 465121 ADD-ACATV NA NA 0.645948 0.375135 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 465121 ADD-SKAT NA NA 0.166208 0.165259 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00188446 465121 ADD 0.00487799 0.19652 0.000616125 0.00868661 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 465121 ADD-ACATO NA NA 1.42829 0.63443 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 465121 ADD-ACATV NA NA 1.87539 0.767363 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 465121 ADD-SKAT NA NA 2.10405 0.83295 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.0053642 465121 ADD -0.0122637 0.124854 0.00964795 0.0353848 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 465121 ADD-ACATO NA NA 0.0964548 0.121406 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 465121 ADD-ACATV NA NA 0.00310944 0.0197552 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 465121 ADD-SKAT NA NA 0.173272 0.16927 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.00412581 465121 ADD 0.126241 0.142067 0.789618 0.426878 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 465121 ADD-ACATO NA NA 1.321 0.601344 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 465121 ADD-ACATV NA NA 1.01934 0.504907 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 465121 ADD-SKAT NA NA 1.18748 0.559344 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.000579419 465121 ADD 0.584853 0.448211 1.70266 0.716834 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 465121 ADD-ACATO NA NA 0.10276 0.125783 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 465121 ADD-ACATV NA NA 0.0972308 0.12195 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 465121 ADD-SKAT NA NA 0.086523 0.114274 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.319525 465121 ADD 0.0464912 0.0226967 4.17208 1.38621 DF=1
17 9826068 GLP2R NA NA NA 465121 ADD-BURDEN-ACAT NA NA 0.0088171 0.0337695 DF=6
